epsilon,is_neural,method,metric,n_sample,rank,scenario,scenario_label,value
1.0,0,baseline_rr_debias,mean_overall_l1,500,6,no_bias,no_bias,0.37039068274773057
1.0,0,mrp_rr_poststrat,mean_weighted_region_l1,500,1,no_bias,no_bias,0.4123985826462507
1.0,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,2,no_bias,no_bias,0.422315553433321
1.0,0,raw_reported_distribution,mean_weighted_region_l1,500,3,no_bias,no_bias,0.4250377467499586
1.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,4,no_bias,no_bias,0.42916258026133564
1.0,1,neural_rr_mrp,mean_weighted_region_l1,500,5,no_bias,no_bias,0.4487741309349576
1.0,0,baseline_rr_debias,mean_weighted_region_l1,500,6,no_bias,no_bias,0.7103187225310941
1.0,0,raw_reported_distribution,mean_weighted_age_l1,500,1,no_bias,no_bias,0.3099088943798947
1.0,0,mrp_rr_poststrat,mean_weighted_age_l1,500,2,no_bias,no_bias,0.31630754911601544
1.0,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,3,no_bias,no_bias,0.33074032147636245
1.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,4,no_bias,no_bias,0.34164977623763026
1.0,1,neural_rr_mrp,mean_weighted_age_l1,500,5,no_bias,no_bias,0.34660878661110167
1.0,0,baseline_rr_debias,mean_weighted_age_l1,500,6,no_bias,no_bias,0.6931065581828102
1.0,0,raw_reported_distribution,mean_runtime_sec,500,1,no_bias,no_bias,0.0004144530003031832
1.0,0,baseline_rr_debias,mean_runtime_sec,500,2,no_bias,no_bias,0.0011098720001427864
1.0,0,mrp_rr_poststrat,mean_runtime_sec,500,3,no_bias,no_bias,0.0025435809998270997
1.0,0,mrp_misreport_rr_poststrat,mean_runtime_sec,500,4,no_bias,no_bias,0.0030621429996244842
1.0,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,500,5,no_bias,no_bias,0.0033919480001713964
1.0,1,neural_rr_mrp,mean_runtime_sec,500,6,no_bias,no_bias,0.012167124999905354
2.0,0,baseline_rr_debias,mean_overall_l1,500,1,no_bias,no_bias,0.061058821374832914
2.0,0,raw_reported_distribution,mean_overall_l1,500,2,no_bias,no_bias,0.08560000000000002
2.0,1,neural_rr_mrp,mean_overall_l1,500,3,no_bias,no_bias,0.08931709221761562
2.0,0,mrp_rr_poststrat,mean_overall_l1,500,4,no_bias,no_bias,0.0913068912982941
2.0,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,5,no_bias,no_bias,0.2058283811661479
2.0,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,6,no_bias,no_bias,0.22422826942567906
2.0,0,raw_reported_distribution,mean_weighted_region_l1,500,1,no_bias,no_bias,0.3366454548579627
2.0,1,neural_rr_mrp,mean_weighted_region_l1,500,2,no_bias,no_bias,0.3719551931952972
2.0,0,mrp_rr_poststrat,mean_weighted_region_l1,500,3,no_bias,no_bias,0.38377298615574834
2.0,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,4,no_bias,no_bias,0.4182724461865344
2.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,5,no_bias,no_bias,0.4253218151418399
2.0,0,baseline_rr_debias,mean_weighted_region_l1,500,6,no_bias,no_bias,0.4519673107095237
2.0,0,raw_reported_distribution,mean_weighted_age_l1,500,1,no_bias,no_bias,0.16535917819342333
2.0,0,baseline_rr_debias,mean_weighted_age_l1,500,2,no_bias,no_bias,0.24944533788274087
2.0,1,neural_rr_mrp,mean_weighted_age_l1,500,3,no_bias,no_bias,0.2612071076797804
2.0,0,mrp_rr_poststrat,mean_weighted_age_l1,500,4,no_bias,no_bias,0.2902291415512562
2.0,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,5,no_bias,no_bias,0.32562123299277324
2.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,6,no_bias,no_bias,0.33743673918241696
2.0,0,raw_reported_distribution,mean_runtime_sec,500,1,no_bias,no_bias,0.000449775000106456
2.0,0,baseline_rr_debias,mean_runtime_sec,500,2,no_bias,no_bias,0.0013790940001854324
2.0,0,mrp_rr_poststrat,mean_runtime_sec,500,3,no_bias,no_bias,0.0026306160002604884
2.0,0,mrp_misreport_rr_poststrat,mean_runtime_sec,500,4,no_bias,no_bias,0.002747388999978284
2.0,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,500,5,no_bias,no_bias,0.003285717999915505
2.0,1,neural_rr_mrp,mean_runtime_sec,500,6,no_bias,no_bias,0.012695453000105772
0.2,0,mrp_rr_poststrat,mean_overall_l1,1000,1,no_bias,no_bias,0.07567722603082659
0.2,0,raw_reported_distribution,mean_overall_l1,1000,2,no_bias,no_bias,0.1656
0.2,1,neural_rr_mrp,mean_overall_l1,1000,3,no_bias,no_bias,0.19185755160442924
0.2,0,mrp_misreport_rr_poststrat,mean_overall_l1,1000,4,no_bias,no_bias,0.21364439327968668
0.2,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,1000,5,no_bias,no_bias,0.231339392982146
0.2,0,baseline_rr_debias,mean_overall_l1,1000,6,no_bias,no_bias,0.6161261442484668
0.2,0,mrp_rr_poststrat,mean_weighted_region_l1,1000,1,no_bias,no_bias,0.3814645838141441
0.2,1,neural_rr_mrp,mean_weighted_region_l1,1000,2,no_bias,no_bias,0.4143965927387426
0.2,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,1000,3,no_bias,no_bias,0.4223268278091776
0.2,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,1000,4,no_bias,no_bias,0.4291007832505509
0.2,0,raw_reported_distribution,mean_weighted_region_l1,1000,5,no_bias,no_bias,0.4702321960112277
0.2,0,baseline_rr_debias,mean_weighted_region_l1,1000,6,no_bias,no_bias,1.0560193457068945
0.2,0,mrp_rr_poststrat,mean_weighted_age_l1,1000,1,no_bias,no_bias,0.2689724988758564
0.2,0,raw_reported_distribution,mean_weighted_age_l1,1000,2,no_bias,no_bias,0.3091196488237757
0.2,1,neural_rr_mrp,mean_weighted_age_l1,1000,3,no_bias,no_bias,0.3197089161094881
0.2,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,1000,4,no_bias,no_bias,0.33144753578929054
0.2,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,1000,5,no_bias,no_bias,0.3421525545236922
0.2,0,baseline_rr_debias,mean_weighted_age_l1,1000,6,no_bias,no_bias,1.041378067171842
0.2,0,raw_reported_distribution,mean_runtime_sec,1000,1,no_bias,no_bias,0.0006260820000534295
0.2,0,baseline_rr_debias,mean_runtime_sec,1000,2,no_bias,no_bias,0.0010948029998871789
0.2,0,mrp_rr_poststrat,mean_runtime_sec,1000,3,no_bias,no_bias,0.0029244150000522495
0.2,0,mrp_misreport_rr_poststrat,mean_runtime_sec,1000,4,no_bias,no_bias,0.00368451600024855
0.2,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,1000,5,no_bias,no_bias,0.00801187100023526
0.2,1,neural_rr_mrp,mean_runtime_sec,1000,6,no_bias,no_bias,0.013386226999955397
0.5,0,mrp_misreport_rr_poststrat,mean_overall_l1,1000,1,no_bias,no_bias,0.21408419693503877
0.5,0,raw_reported_distribution,mean_overall_l1,1000,2,no_bias,no_bias,0.21760000000000002
0.5,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,1000,3,no_bias,no_bias,0.231138307390619
0.5,0,mrp_rr_poststrat,mean_overall_l1,1000,4,no_bias,no_bias,0.23743550452589987
0.5,1,neural_rr_mrp,mean_overall_l1,1000,5,no_bias,no_bias,0.2847693616427074
0.5,0,baseline_rr_debias,mean_overall_l1,1000,6,no_bias,no_bias,0.5515884614595674
0.5,0,raw_reported_distribution,mean_weighted_region_l1,1000,1,no_bias,no_bias,0.42185855124739896
0.5,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,1000,2,no_bias,no_bias,0.42260652001988064
0.5,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,1000,3,no_bias,no_bias,0.42908844173814803
0.5,0,mrp_rr_poststrat,mean_weighted_region_l1,1000,4,no_bias,no_bias,0.45158745684027674
0.5,1,neural_rr_mrp,mean_weighted_region_l1,1000,5,no_bias,no_bias,0.49521174798774514
0.5,0,baseline_rr_debias,mean_weighted_region_l1,1000,6,no_bias,no_bias,0.8709259827020913
0.5,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,1000,1,no_bias,no_bias,0.3317632434000975
0.5,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,1000,2,no_bias,no_bias,0.3421704487704058
0.5,0,mrp_rr_poststrat,mean_weighted_age_l1,1000,3,no_bias,no_bias,0.35074442781209947
0.5,0,raw_reported_distribution,mean_weighted_age_l1,1000,4,no_bias,no_bias,0.3537305698901027
0.5,1,neural_rr_mrp,mean_weighted_age_l1,1000,5,no_bias,no_bias,0.39897453772603886
0.5,0,baseline_rr_debias,mean_weighted_age_l1,1000,6,no_bias,no_bias,0.7481072624009037
0.5,0,raw_reported_distribution,mean_runtime_sec,1000,1,no_bias,no_bias,0.0004984880001757119
0.5,0,baseline_rr_debias,mean_runtime_sec,1000,2,no_bias,no_bias,0.001157619999958115
0.5,0,mrp_rr_poststrat,mean_runtime_sec,1000,3,no_bias,no_bias,0.0025913340000442986
0.5,0,mrp_misreport_rr_poststrat,mean_runtime_sec,1000,4,no_bias,no_bias,0.0028354149999358924
0.5,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,1000,5,no_bias,no_bias,0.003257673000007344
0.5,1,neural_rr_mrp,mean_runtime_sec,1000,6,no_bias,no_bias,0.01216746999989482
1.0,0,mrp_rr_poststrat,mean_overall_l1,1000,1,no_bias,no_bias,0.1561608529150486
1.0,0,baseline_rr_debias,mean_overall_l1,1000,2,no_bias,no_bias,0.1564918474042643
1.0,0,raw_reported_distribution,mean_overall_l1,1000,3,no_bias,no_bias,0.1696
1.0,0,mrp_misreport_rr_poststrat,mean_overall_l1,1000,4,no_bias,no_bias,0.21321209931709686
1.0,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,1000,5,no_bias,no_bias,0.2299854093120674
1.0,1,neural_rr_mrp,mean_overall_l1,1000,6,no_bias,no_bias,0.2833211111215843
1.0,0,raw_reported_distribution,mean_weighted_region_l1,1000,1,no_bias,no_bias,0.3506954921694435
1.0,0,mrp_rr_poststrat,mean_weighted_region_l1,1000,2,no_bias,no_bias,0.4057864222586155
1.0,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,1000,3,no_bias,no_bias,0.4218820673110052
1.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,1000,4,no_bias,no_bias,0.4283614454708676
1.0,1,neural_rr_mrp,mean_weighted_region_l1,1000,5,no_bias,no_bias,0.44009049286272556
1.0,0,baseline_rr_debias,mean_weighted_region_l1,1000,6,no_bias,no_bias,0.530895687320162
1.0,0,mrp_rr_poststrat,mean_weighted_age_l1,1000,1,no_bias,no_bias,0.29487923488020895
1.0,0,raw_reported_distribution,mean_weighted_age_l1,1000,2,no_bias,no_bias,0.31083430336379325
1.0,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,1000,3,no_bias,no_bias,0.33094523206435816
1.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,1000,4,no_bias,no_bias,0.341272539780792
1.0,1,neural_rr_mrp,mean_weighted_age_l1,1000,5,no_bias,no_bias,0.3742243300514359
1.0,0,baseline_rr_debias,mean_weighted_age_l1,1000,6,no_bias,no_bias,0.5740434176755427
1.0,0,raw_reported_distribution,mean_runtime_sec,1000,1,no_bias,no_bias,0.00037239200037220144
1.0,0,baseline_rr_debias,mean_runtime_sec,1000,2,no_bias,no_bias,0.0010545899999669928
1.0,0,mrp_rr_poststrat,mean_runtime_sec,1000,3,no_bias,no_bias,0.002404858999852877
1.0,0,mrp_misreport_rr_poststrat,mean_runtime_sec,1000,4,no_bias,no_bias,0.0029703200002586527
1.0,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,1000,5,no_bias,no_bias,0.002982184000302368
1.0,1,neural_rr_mrp,mean_runtime_sec,1000,6,no_bias,no_bias,0.012645017000068037
2.0,0,baseline_rr_debias,mean_overall_l1,1000,1,no_bias,no_bias,0.08415623499247651
2.0,0,raw_reported_distribution,mean_overall_l1,1000,2,no_bias,no_bias,0.1236
2.0,1,neural_rr_mrp,mean_overall_l1,1000,3,no_bias,no_bias,0.14601466928378326
2.0,0,mrp_rr_poststrat,mean_overall_l1,1000,4,no_bias,no_bias,0.15097766736745835
2.0,0,mrp_misreport_rr_poststrat,mean_overall_l1,1000,5,no_bias,no_bias,0.20797887401200787
2.0,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,1000,6,no_bias,no_bias,0.22821445953882025
2.0,0,raw_reported_distribution,mean_weighted_region_l1,1000,1,no_bias,no_bias,0.23813321987044528
2.0,0,baseline_rr_debias,mean_weighted_region_l1,1000,2,no_bias,no_bias,0.2671856052706532
2.0,0,mrp_rr_poststrat,mean_weighted_region_l1,1000,3,no_bias,no_bias,0.3849934074997902
2.0,1,neural_rr_mrp,mean_weighted_region_l1,1000,4,no_bias,no_bias,0.38513734875497463
2.0,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,1000,5,no_bias,no_bias,0.41815873385778746
2.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,1000,6,no_bias,no_bias,0.42646324395848945
2.0,0,baseline_rr_debias,mean_weighted_age_l1,1000,1,no_bias,no_bias,0.17855593105936385
2.0,0,raw_reported_distribution,mean_weighted_age_l1,1000,2,no_bias,no_bias,0.20189492100689072
2.0,1,neural_rr_mrp,mean_weighted_age_l1,1000,3,no_bias,no_bias,0.2973428230279164
2.0,0,mrp_rr_poststrat,mean_weighted_age_l1,1000,4,no_bias,no_bias,0.30212563324570657
2.0,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,1000,5,no_bias,no_bias,0.3268615037849351
2.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,1000,6,no_bias,no_bias,0.3395687881029795
2.0,0,raw_reported_distribution,mean_runtime_sec,1000,1,no_bias,no_bias,0.0003764570001294487
2.0,0,baseline_rr_debias,mean_runtime_sec,1000,2,no_bias,no_bias,0.0011378770000192162
2.0,0,mrp_rr_poststrat,mean_runtime_sec,1000,3,no_bias,no_bias,0.002813518000039039
2.0,0,mrp_misreport_rr_poststrat,mean_runtime_sec,1000,4,no_bias,no_bias,0.003062969999973575
2.0,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,1000,5,no_bias,no_bias,0.003317490999961592
2.0,1,neural_rr_mrp,mean_runtime_sec,1000,6,no_bias,no_bias,0.012264321000202472
0.2,0,mrp_rr_poststrat,mean_overall_l1,500,1,nonresponse,nonresponse,0.12309021492004397
0.2,0,raw_reported_distribution,mean_overall_l1,500,2,nonresponse,nonresponse,0.1318857142857143
0.2,1,neural_rr_mrp,mean_overall_l1,500,3,nonresponse,nonresponse,0.17516283777525168
0.2,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,4,nonresponse,nonresponse,0.2134323548206651
0.2,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,5,nonresponse,nonresponse,0.23126898849775654
0.2,0,baseline_rr_debias,mean_overall_l1,500,6,nonresponse,nonresponse,0.4295766419582585
0.2,0,mrp_rr_poststrat,mean_weighted_region_l1,500,1,nonresponse,nonresponse,0.3740278460919857
0.2,1,neural_rr_mrp,mean_weighted_region_l1,500,2,nonresponse,nonresponse,0.41787162145003626
0.2,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,3,nonresponse,nonresponse,0.42221447746325486
0.2,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,4,nonresponse,nonresponse,0.4289599738691697
0.2,0,raw_reported_distribution,mean_weighted_region_l1,500,5,nonresponse,nonresponse,0.4583479869465517
0.2,0,baseline_rr_debias,mean_weighted_region_l1,500,6,nonresponse,nonresponse,0.8801647455884891
0.2,0,mrp_rr_poststrat,mean_weighted_age_l1,500,1,nonresponse,nonresponse,0.29037363458573817
0.2,1,neural_rr_mrp,mean_weighted_age_l1,500,2,nonresponse,nonresponse,0.32841473554442313
0.2,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,3,nonresponse,nonresponse,0.33130661788384735
0.2,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,4,nonresponse,nonresponse,0.3420712438638511
0.2,0,raw_reported_distribution,mean_weighted_age_l1,500,5,nonresponse,nonresponse,0.3716100522965167
0.2,0,baseline_rr_debias,mean_weighted_age_l1,500,6,nonresponse,nonresponse,1.1102630137804133
0.2,0,raw_reported_distribution,mean_runtime_sec,500,1,nonresponse,nonresponse,0.0003948319999835803
0.2,0,baseline_rr_debias,mean_runtime_sec,500,2,nonresponse,nonresponse,0.0011047839998354902
0.2,0,mrp_rr_poststrat,mean_runtime_sec,500,3,nonresponse,nonresponse,0.002448482999625412
0.2,0,mrp_misreport_rr_poststrat,mean_runtime_sec,500,4,nonresponse,nonresponse,0.002569887000390736
0.2,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,500,5,nonresponse,nonresponse,0.0031943660001161334
0.2,1,neural_rr_mrp,mean_runtime_sec,500,6,nonresponse,nonresponse,0.011015994999979739
0.5,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,1,nonresponse,nonresponse,0.21310638873989568
0.5,0,raw_reported_distribution,mean_overall_l1,500,2,nonresponse,nonresponse,0.21777931034482761
0.5,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,3,nonresponse,nonresponse,0.2313359174680607
0.5,1,neural_rr_mrp,mean_overall_l1,500,4,nonresponse,nonresponse,0.27618190237881185
0.5,0,mrp_rr_poststrat,mean_overall_l1,500,5,nonresponse,nonresponse,0.28154449901580814
0.5,0,baseline_rr_debias,mean_overall_l1,500,6,nonresponse,nonresponse,0.7864054496904809
0.5,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,1,nonresponse,nonresponse,0.4222343736125808
0.5,0,mrp_rr_poststrat,mean_weighted_region_l1,500,2,nonresponse,nonresponse,0.42672232381105424
0.5,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,3,nonresponse,nonresponse,0.4291596316205558
0.5,1,neural_rr_mrp,mean_weighted_region_l1,500,4,nonresponse,nonresponse,0.4759444665757424
0.5,0,raw_reported_distribution,mean_weighted_region_l1,500,5,nonresponse,nonresponse,0.5023404645208729
0.5,0,baseline_rr_debias,mean_weighted_region_l1,500,6,nonresponse,nonresponse,0.9561671879050723
0.5,0,raw_reported_distribution,mean_weighted_age_l1,500,1,nonresponse,nonresponse,0.3134538629818754
0.5,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,2,nonresponse,nonresponse,0.3311603325020838
0.5,0,mrp_rr_poststrat,mean_weighted_age_l1,500,3,nonresponse,nonresponse,0.34186006389260293
0.5,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,4,nonresponse,nonresponse,0.3421368859876008
0.5,1,neural_rr_mrp,mean_weighted_age_l1,500,5,nonresponse,nonresponse,0.36253330011735424
0.5,0,baseline_rr_debias,mean_weighted_age_l1,500,6,nonresponse,nonresponse,0.9215395975488804
0.5,0,raw_reported_distribution,mean_runtime_sec,500,1,nonresponse,nonresponse,0.00029847600035282085
0.5,0,baseline_rr_debias,mean_runtime_sec,500,2,nonresponse,nonresponse,0.001006593000056455
0.5,0,mrp_rr_poststrat,mean_runtime_sec,500,3,nonresponse,nonresponse,0.002274229000249761
0.5,0,mrp_misreport_rr_poststrat,mean_runtime_sec,500,4,nonresponse,nonresponse,0.002497134000350343
0.5,0,mrp_learned_misreport_rr_poststrat,mean_runtime_sec,500,5,nonresponse,nonresponse,0.003029346999937843
0.5,1,neural_rr_mrp,mean_runtime_sec,500,6,nonresponse,nonresponse,0.013122103000114294
1.0,0,raw_reported_distribution,mean_overall_l1,500,1,nonresponse,nonresponse,0.13041379310344825
1.0,1,neural_rr_mrp,mean_overall_l1,500,2,nonresponse,nonresponse,0.15428758081268304
1.0,0,mrp_rr_poststrat,mean_overall_l1,500,3,nonresponse,nonresponse,0.1732794750750065
1.0,0,mrp_misreport_rr_poststrat,mean_overall_l1,500,4,nonresponse,nonresponse,0.210425847263285
1.0,0,mrp_learned_misreport_rr_poststrat,mean_overall_l1,500,5,nonresponse,nonresponse,0.2297797652700629
1.0,0,baseline_rr_debias,mean_overall_l1,500,6,nonresponse,nonresponse,0.27670599641967486
1.0,0,raw_reported_distribution,mean_weighted_region_l1,500,1,nonresponse,nonresponse,0.3757144959642207
1.0,0,mrp_rr_poststrat,mean_weighted_region_l1,500,2,nonresponse,nonresponse,0.39713635356426236
1.0,1,neural_rr_mrp,mean_weighted_region_l1,500,3,nonresponse,nonresponse,0.40240306129451175
1.0,0,mrp_misreport_rr_poststrat,mean_weighted_region_l1,500,4,nonresponse,nonresponse,0.42109761615022095
1.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_region_l1,500,5,nonresponse,nonresponse,0.42840647771591434
1.0,0,baseline_rr_debias,mean_weighted_region_l1,500,6,nonresponse,nonresponse,0.7704817022612521
1.0,0,raw_reported_distribution,mean_weighted_age_l1,500,1,nonresponse,nonresponse,0.2864567897819415
1.0,0,mrp_rr_poststrat,mean_weighted_age_l1,500,2,nonresponse,nonresponse,0.2973817298710346
1.0,1,neural_rr_mrp,mean_weighted_age_l1,500,3,nonresponse,nonresponse,0.3102704445536017
1.0,0,mrp_misreport_rr_poststrat,mean_weighted_age_l1,500,4,nonresponse,nonresponse,0.3295712124951448
1.0,0,mrp_learned_misreport_rr_poststrat,mean_weighted_age_l1,500,5,nonresponse,nonresponse,0.34096881618308267
1.0,0,baseline_rr_debias,mean_weighted_age_l1,500,6,nonresponse,nonresponse,0.5859550516112628
1.0,0,raw_reported_distribution,mean_runtime_sec,500,1,nonresponse,nonresponse,0.0003228579998904024
1.0,0,baseline_rr_debias,mean_runtime_sec,500,2,nonresponse,nonresponse,0.0010468269997545576
